num,x,y,z,qx,qy,qz,qw
973,15.067676530657456,8.664107246555135,7.889689089378834,0.9899954517787432,0.1379283088469407,-0.012164918305451182,0.027144093992008084
974,15.197978121891438,8.603624889172922,7.963619540813258,0.9883304008481738,0.14656726451518573,-0.006868933201173994,0.04091299901622263
975,15.337831510818381,8.728546276808586,7.934872199104909,0.9860357768327624,0.15632326725849557,-0.02147547857123826,0.0532474106372876
976,15.476234197101435,8.748279243446511,7.941858313143559,0.9847341575502692,0.16018298500156555,-0.02966826807929496,0.061317567946919206
977,15.627200291450002,8.771554526281774,7.878200255324412,0.9864560688298225,0.1487568643524237,-0.02649057890921106,0.06382843258221213
978,15.795728501612047,8.849540747329584,7.892000983846114,0.989766787334268,0.12853721011012795,-0.015900548222599023,0.05989211027612383
979,15.968006514048321,8.90773271685351,7.96584377289809,0.9919575901960624,0.10755237157112735,-0.01641976244757626,0.06467625548075583
980,16.149847423379814,8.900438602286563,7.928752188801773,0.9940586869399564,0.08581274109886092,-0.024970987649808842,0.06212849716597635
981,16.371436712256905,9.019910781114252,7.885870806354441,0.995394997538928,0.07527078870343758,-0.025572157024507283,0.05356465278104274
982,16.56862993921577,9.094125229945362,7.85551435730158,0.9946987388319785,0.0870688176042221,-0.023558704143598324,0.04938043566179427
983,16.753217477676568,9.121955958200699,7.966377908980536,0.9928369750980762,0.10057064017654814,-0.026603405813545474,0.05875836971616204
984,16.910873841803536,9.209074496328887,7.94266450298667,0.9902711540607473,0.11838259907132291,-0.04112861432023502,0.060473454973330586
985,17.06266340386038,9.269902580011316,7.896532701492873,0.9882839512730976,0.13537379306998218,-0.04483440808751665,0.05439341556954479
986,17.166573356580585,9.304451210510774,7.846790109760862,0.9882255997641494,0.14156740082671487,-0.03457042699412918,0.04662317633322426
987,17.294756389256523,9.337856562742802,7.882315543718706,0.990004034841341,0.13456996693221313,-0.0176279128676297,0.038369150181611994
988,17.460765168812866,9.387733594323436,7.95968467535654,0.9912331712376453,0.1251941724117224,-0.015954498069597887,0.03909825346037884
989,17.59614541408457,9.416745847164977,7.951668605216102,0.99261605504124,0.11297675695437791,-0.02256272622643068,0.037954486528849966
990,17.833578885950917,9.472294502925857,7.900865004689095,0.9933937663572923,0.10888758777667712,-0.01985088600924417,0.03030281365315282
991,17.983792387005888,9.52461028930177,7.865620150411262,0.9924355847841975,0.119748451575117,-0.009464999564151581,0.02534427317286322
992,18.134362849290305,9.55122708937903,7.984969270357537,0.9916952581674603,0.12416387151118687,0.0009715538017839732,0.03350976011161546
993,18.29011547035273,9.645939885528461,7.982493245994936,0.9906020055981061,0.13102966696082427,-0.0035016784861455668,0.039072127263880575
994,18.49420041253246,9.697692515464048,7.964292180837275,0.9892006932356717,0.1419623843491617,-0.007228021585159421,0.035727099461500746
995,18.59424335913743,9.73656246381797,7.947770840599654,0.987918987319786,0.15134611501538503,-0.0012525194761217316,0.03329953690008306
996,18.765579627819392,9.74214957512928,7.948281569532291,0.9898142902962515,0.13857810223374642,0.010571695094285816,0.030854814364290297
997,18.937234560507882,9.781217953626303,8.016518335843525,0.9918408560538962,0.12251803451092909,0.009573387695459857,0.033902768764298846
998,19.08318445590102,9.814536861775279,8.018203100470156,0.9935708718011741,0.10794362532936239,-0.0027376414327683813,0.03402354741050403
999,19.32483102592371,9.850427645709654,7.997174034144986,0.9953050224477749,0.09180557939385871,-0.005917592593694267,0.030077067348515583
1000,19.507998371133738,9.901106874630054,7.931800720996312,0.9945881421881572,0.10012031501712443,-0.0010633687934828245,0.02773480099786001
1001,19.6371471668043,9.945824211723174,8.030020036078431,0.9930485103198656,0.11384794667308835,0.0057676904802868925,0.029326352250852564
1002,19.81864941331906,9.982935386691183,8.04675377913126,0.9920844227685884,0.12118519274663608,-0.001103048754484544,0.0328851097356002
1003,19.995689324206403,10.042808394242199,8.050908215132695,0.9904008009756201,0.133989801429974,-0.011308919098802715,0.032017103061066275
1004,20.130339222526004,10.080740252250598,8.052886607937348,0.9897250057693017,0.13769745252742432,-0.011305121443203872,0.036824159889506304
1005,20.31092014776991,10.106518330299489,8.004649591721705,0.9913547076407817,0.12474659789376831,-0.0025864293042621935,0.0405886725065584
1006,20.48329992128866,10.159730231389393,8.066965319450732,0.9929135935261386,0.11064314741476992,0.0026366141627816187,0.04328669526448163
1007,20.644264231475315,10.211530771163625,8.070247655557656,0.9943359269882713,0.09324397513393629,-0.007231868962440719,0.050490845436643735
1008,20.86657693637293,10.25564535083992,8.04740090280245,0.9954186263282175,0.08156552477515407,-0.011684673576177787,0.048500432270407026
1009,21.039428171163063,10.345664818871304,7.99071530161435,0.9944012797226882,0.09636145604843897,-0.008117210128749625,0.042599009070992476
1010,21.187148243838934,10.409217159444305,8.033196717197393,0.9926140025683714,0.11539637758566369,0.0029687486173228628,0.03731359640869859
